Aug25,Aug31,Sept6,Aug23,Aug22,Sept8,Aug21,Sept6_2,Sept5_2,Sept7,Sept4,Sept1,Sept3,Sept5,Sept2,Sept6,Aug27,Aug28,Aug29,Aug28_2,Aug20,Sept9,Aug30,Control
2.48474639564257,1.5388520176581,1.94156752967119,2.99097637818486,3.32048105504268,2.27746760984985,1.86646950181246,2.67940500819345,2.68362691461746,1.97686732237682,2.18154612133519,1.92950139616504,2.12881305053354,3.06532885060857,2.38112931404375,2.11559552638312,2.83241175337554,3.66615878713078,1.96778237204223,2.81422311762019,1.90256633439259,2.84960640487859,2.82911329356093,1.69551213505861
2.4913326164903,1.56097990259798,2.03357409074452,2.97231199752882,3.2963539743854,2.29093707056255,1.92224725357919,2.69225380686781,2.68735766286611,1.99970934697538,2.24053818104475,1.89595342728204,2.17483890998365,3.14786147287166,2.39132822793612,2.03074274142857,2.8480487630586,3.62695203205922,2.0979659829307,2.74755080894956,1.90216177770285,2.908201724575,2.86481175400438,1.66148898812866
2.50168825546595,1.60521963372222,2.06592602515416,2.95598725279481,3.28470568033093,2.33969181280607,1.95679907755557,2.70854341195502,2.67015887338202,1.98281565214155,2.30577096631459,1.91902060438078,2.17908244703339,3.06436195156275,2.42385930862681,1.99674664051677,2.88066034740587,3.63284541977834,2.17332617375273,2.73639308911038,1.90194225361562,2.90361907084085,2.90920533631146,1.71030393530227
2.52473514449322,1.56565154519223,2.10288735146007,2.9285253870456,3.27321109300936,2.36990625773457,2.03260603499079,2.73444786331216,2.6809163603483,1.97593910562009,2.33572756959202,1.87625759938796,2.22047680614281,3.04935012672641,2.45110794452111,1.99932333528995,2.90572190233106,3.61326628335664,2.28305555509041,2.78648670992083,1.91216354082114,2.90175408798664,2.90711178212721,1.69277366047591
2.55424061179529,1.68970068357716,2.14281818611115,2.95155499603528,3.2586515268894,2.37917768989274,2.0919344770496,2.80170625659161,2.73436948674317,2.05242668355737,2.35518436052216,1.85291251052048,2.33708708815566,3.07581599529465,2.53747199799476,2.03031268042996,2.85466466397983,3.60903609787204,2.36696497806403,2.88199193592255,1.91758322492627,3.03537174916937,2.87866622026685,1.74484416247821
2.57375356716353,1.76813501191611,2.15361121729082,2.97711057266323,3.27164574799137,2.39620273276593,2.17687417027069,2.83396766067961,2.73357486681904,2.11888612249057,2.37137589494564,1.75700077773625,2.38877720540097,3.04625536306624,2.56355274272585,2.04629042366484,2.79817458858855,3.58341056569274,2.46806871870477,2.87665540672181,1.91617225644227,3.02156878608569,2.9199531741234,1.79476702918746
2.58422179900751,1.79913314714853,2.1653342386443,2.94382311416469,3.27717987842555,2.39131448039067,2.2183640055497,2.7700685293702,2.73455220074835,2.14411742626365,2.35271357185275,1.72718354519046,2.48761887318852,3.06750988228784,2.58856720145121,2.07999375905876,2.81193813108917,3.47959787001589,2.61704522583481,2.87602873383185,1.92345313244057,3.05082651056787,2.89608717716531,1.76491590546224
2.59444285642672,1.83687670950347,2.19962877117141,2.97333161993306,3.30120729993737,2.41154166538672,2.2946354741368,2.86345070866318,2.75770679230644,2.21006688815569,2.35016845175499,1.62205128031638,2.5642857182349,3.05175219755999,2.58209729698321,2.00289648354781,2.84915690924279,3.41473988073727,2.59864222536119,2.86540845350145,1.99029837903275,3.07962374993203,2.94728319389895,1.72870053806503
2.616082637895,1.96360101052105,2.22523707332859,2.99610663703796,3.31267060055463,2.4103144968,2.32308823861534,2.89105250205919,2.72568140065189,2.19434975037411,2.28513100631348,1.55359242237063,2.64995667460569,2.97643122327457,2.62591786196913,2.06129816569238,2.78422193448838,3.20310587310223,2.59773911903437,2.88013719594318,2.01618626645917,3.052959249619,2.9745051160769,1.68758705996589
2.6204108724,2.07899071313491,2.23207153770822,3.00500620302374,3.35315988697999,2.45384390248627,2.34893981718919,2.90939268498863,2.75118990965468,2.17962820340194,2.23467151986128,1.55594282978181,2.73031580554524,3.03788463444405,2.65882534452438,2.13004258097623,2.80774115977149,3.10692037158295,2.47246613111038,3.01857106634101,2.00957053896022,3.0764720057578,3.01606446298648,1.71007205575646
